Following the strict rubric design rules outlined in `Atlas-rubrics-writing.pdf`, here is the finalized task-specific evaluation rubric for the `olivia_xie` household and operational brief task. Every criterion is designed to be completely atomic , binary , objective , and self-contained.

## 1. Create Rubric

| Criterion No | Criterion | Weight | Category | Target |
| --- | --- | --- | --- | --- |
| **CR-01** | A markdown file named exactly `shared_household_brief.md` exists in the workspace directory. | `+5` | Task Completion | outcome |
| **CR-02** | The generated brief partitions its content into distinct structural sub-sections explicitly tracking travel, housing, balances, recurring outlays, and historical milestones. | `+3` | Instruction Following | outcome |
| **CR-03** | The document ends with a prioritized action checklist containing exactly 13 numbered action rows. | `+5` | Instruction Following | outcome |
| **CR-04** | The brief identifies the Taiwan trip as current or underway during the June 15–25, 2026 travel window for Olivia Xie and Jenna Reeves. | `+3` | Task Completion | outcome |
| **CR-05** | The brief reports the EVA Air booking as a confirmed and paid commitment, explicitly specifying outbound flight BR025 on June 15 and return flight BR024 on June 25. | `+5` | Factuality / Hallucination | outcome |
| **CR-06** | The brief states that the EVA Air booking charge was billed to the payment card ending in 6103. | `+3` | Factuality / Hallucination | outcome |
| **CR-07** | The brief records the EVA Air flight confirmation code exactly as the string TWXIE7K. | `+3` | Factuality / Hallucination | outcome |
| **CR-08** | The brief reports the Hotel Proverbs Taipei Booking.com reservation as confirmed and paid, explicitly including booking number 4471829305 and PIN 8827. | `+5` | Factuality / Hallucination | outcome |
| **CR-09** | The brief states the Hotel Proverbs Taipei stay parameters as exactly 10 nights for 2 adults, with a cost of TWD 49,400 or approximately USD $1,512. | `+5` | Factuality / Hallucination | outcome |
| **CR-10** | The brief explicitly notes that the free cancellation window for the Hotel Proverbs Taipei reservation expired after June 1, 2026. | `+3` | Factuality / Hallucination | outcome |
| **CR-11** | The brief lists the combined confirmed Taiwan travel spend as exactly the consolidated sum of $3,394.40 (or an approximated rounded value). | `+3` | Factuality / Hallucination | outcome |
| **CR-12** | The housing section states that the Pacific Crest lease renewal is signed and in effect from June 1, 2026, through May 31, 2027. | `+5` | Factuality / Hallucination | outcome |
| **CR-13** | The housing section explicitly states the new monthly rent amount as exactly $2,275.00. | `+3` | Factuality / Hallucination | outcome |
| **CR-14** | The housing section notes that a security deposit of $2,200.00 was carried over for the lease renewal. | `+3` | Factuality / Hallucination | outcome |
| **CR-15** | The brief surfaces the Pacific Crest mid-July roof-work maintenance window as an upcoming awareness item involving approximately two weeks of daytime noise. | `+3` | Task Completion | outcome |
